,0
756,41
757,400
758,85
759,-1
760,112
761,181
762,85
763,435
764,112
765,41
766,334
767,85
768,341
769,112
770,487
771,41
772,361
773,85
774,282
775,112
776,218
777,41
778,334
779,85
780,-1
781,112
782,370
783,41
784,-1
785,85
786,502
787,112
788,441
789,41
790,485
791,85
792,378
793,-1
794,41
795,85
796,-1
797,112
798,478
799,41
800,485
801,85
802,-1
803,112
804,-1
805,-1
806,85
807,502
808,-1
809,478
810,41
811,324
812,510
813,112
814,-1
815,497
816,85
817,112
818,41
819,-1
820,85
821,341
822,112
823,-1
824,41
825,-1
826,85
827,-1
828,112
829,257
830,472
831,85
832,513
833,112
834,414
835,-1
836,513
837,112
838,397
839,41
840,-1
841,85
842,401
843,112
844,282
845,41
846,-1
847,85
848,-1
849,112
850,486
851,41
852,-1
853,85
854,-1
855,-1
856,369
857,41
858,463
859,85
860,-1
861,112
862,470
863,41
864,477
865,85
866,513
867,112
868,457
869,41
870,369
871,85
872,484
873,112
874,41
875,-1
876,85
877,498
878,397
879,41
880,355
881,85
882,-1
883,112
884,-1
885,41
886,85
887,502
888,112
889,470
890,41
891,-1
892,-1
893,110
894,470
895,41
896,-1
897,85
898,-1
899,112
900,-1
901,41
902,504
903,85
904,-1
905,347
906,41
907,386
908,85
909,-1
910,112
911,446
912,41
913,455
914,85
915,481
916,112
917,277
918,41
919,475
920,85
921,401
922,112
923,265
924,41
925,257
926,85
927,-1
928,26
929,-1
930,41
931,352
932,488
933,112
934,410
935,41
936,212
937,-1
938,112
939,414
940,41
941,504
942,85
943,512
944,112
945,471
946,41
947,465
948,85
949,502
950,112
951,468
952,41
953,352
954,85
955,112
956,403
957,41
958,-1
959,86
960,507
961,112
962,-1
963,41
964,-1
965,85
966,-1
967,112
968,-1
969,41
970,428
971,85
972,189
973,112
974,-1
975,41
976,-1
977,85
978,-1
979,112
980,390
981,41
982,85
983,502
984,112
985,155
986,-1
987,85
988,462
989,112
990,401
991,41
992,499
993,85
994,-1
995,112
996,384
997,41
998,85
999,511
1000,112
1001,41
1002,304
1003,85
1004,-1
1005,112
1006,-1
1007,41
1008,-1
1009,85
1010,507
1011,457
1012,41
1013,-1
1014,85
1015,265
1016,112
1017,411
1018,41
1019,-1
1020,85
1021,453
1022,112
1023,-1
1024,41
1025,-1
1026,85
1027,112
1028,-1
1029,41
1030,509
1031,85
1032,155
1033,112
1034,478
1035,41
1036,-1
1037,85
1038,189
1039,112
1040,255
1041,41
1042,-1
1043,85
1044,112
1045,411
1046,41
1047,293
1048,85
1049,112
1050,411
1051,41
1052,428
1053,85
1054,-1
1055,112
1056,487
1057,41
1058,509
1059,85
1060,495
1061,112
1062,-1
1063,85
1064,-1
1065,112
1066,-1
1067,41
1068,-1
1069,85
1070,386
1071,112
1072,-1
1073,41
1074,85
1075,410
1076,112
1077,-1
1078,41
1079,400
1080,85
1081,488
1082,112
1083,41
1084,-1
1085,85
1086,96
1087,112
1088,-1
1089,41
1090,361
1091,85
1092,503
1093,112
1094,41
1095,255
1096,85
1097,-1
1098,112
1099,41
1100,475
1101,85
1102,513
1103,112
1104,434
1105,41
1106,-1
1107,85
1108,159
1109,112
1110,352
1111,41
1112,475
1113,85
1114,384
1115,112
1116,41
1117,479
1118,85
1119,435
1120,112
1121,482
1122,41
1123,509
1124,85
1125,502
1126,112
1127,470
1128,41
1129,255
1130,85
1131,513
1132,112
1133,414
1134,41
1135,350
1136,85
1137,442
1138,112
1139,457
1140,41
1141,463
1142,85
1143,83
1144,-1
1145,41
1146,509
1147,85
1148,-1
1149,486
1150,41
1151,347
1152,112
1153,-1
1154,41
1155,334
1156,85
1157,355
1158,112
1159,411
1160,364
1161,85
1162,491
1163,112
1164,55
1165,41
1166,474
1167,85
1168,112
1169,-1
1170,41
1171,465
1172,85
1173,-1
1174,112
1175,403
1176,41
1177,474
1178,304
1179,-1
1180,41
1181,462
1182,85
1183,-1
1184,333
1185,41
1186,506
1187,85
1188,-1
1189,112
1190,-1
1191,85
1192,-1
1193,112
1194,-1
1195,41
1196,333
1197,85
1198,112
1199,-1
1200,41
1201,477
1202,85
1203,112
1204,369
1205,41
1206,85
1207,502
1208,112
1209,350
1210,41
1211,386
1212,85
1213,65
1214,41
1215,-1
1216,112
1217,446
1218,41
1219,397
1220,85
1221,397
1222,112
1223,96
1224,41
1225,499
1226,513
1227,112
1228,335
1229,41
1230,485
1231,85
1232,428
1233,112
1234,478
1235,41
1236,257
1237,85
1238,-1
1239,-1
1240,-1
1241,41
1242,327
1243,85
1244,255
1245,112
1246,473
1247,41
1248,341
1249,85
1250,-1
1251,112
1252,350
1253,41
1254,428
1255,85
1256,430
1257,112
1258,397
1259,41
1260,352
1261,85
1262,-1
1263,41
1264,369
1265,85
1266,288
1267,112
1268,-1
1269,85
1270,255
1271,112
1272,413
1273,85
1274,-1
1275,401
1276,41
1277,-1
1278,85
1279,507
1280,112
1281,-1
1282,41
1283,-1
1284,85
1285,498
1286,112
1287,411
1288,41
1289,85
1290,-1
1291,112
1292,-1
1293,41
1294,485
1295,489
1296,112
1297,478
1298,41
1299,-1
1300,85
1301,-1
1302,112
1303,-1
1304,41
1305,355
1306,85
1307,435
1308,112
1309,-1
1310,41
1311,85
1312,-1
1313,112
1314,41
1315,-1
1316,85
1317,175
1318,124
1319,267
1320,41
1321,403
1322,85
1323,112
1324,287
1325,41
1326,85
1327,502
1328,410
1329,41
1330,-1
1331,502
1332,112
1333,-1
1334,41
1335,329
1336,85
1337,112
1338,457
1339,41
1340,85
1341,-1
1342,112
1343,-1
1344,-1
1345,112
1346,-1
1347,41
1348,-1
1349,85
1350,502
1351,112
1352,-1
1353,41
1354,499
1355,85
1356,513
1357,112
1358,457
1359,41
1360,403
1361,85
1362,-1
1363,112
1364,267
1365,41
1366,444
1367,85
1368,-1
1369,112
1370,457
1371,41
1372,403
1373,85
1374,442
1375,112
1376,457
1377,41
1378,293
1379,-1
1380,390
1381,105
1382,-1
1383,41
1384,248
1385,85
1386,390
1387,112
1388,159
1389,41
1390,85
1391,512
1392,112
1393,-1
1394,41
1395,-1
1396,85
1397,496
1398,112
1399,350
1400,41
1401,85
1402,355
1403,41
1404,-1
1405,85
1406,-1
1407,112
1408,401
1409,41
1410,-1
1411,85
1412,-1
1413,112
1414,487
1415,41
1416,-1
1417,85
1418,401
1419,112
1420,267
1421,41
1422,-1
1423,112
1424,-1
1425,41
1426,-1
1427,85
1428,410
1429,112
1430,390
1431,41
1432,415
1433,85
1434,-1
1435,112
1436,355
1437,41
1438,347
1439,85
1440,488
1441,112
1442,411
1443,85
1444,-1
1445,112
1446,277
1447,41
1448,333
1449,85
1450,194
1451,112
1452,41
1453,212
1454,85
1455,105
1456,329
1457,85
1458,-1
1459,112
1460,41
1461,-1
1462,85
1463,462
1464,112
1465,41
1466,501
1467,85
1468,-1
1469,112
1470,394
1471,41
1472,466
1473,85
1474,-1
1475,112
1476,-1
1477,41
1478,-1
1479,85
1480,-1
1481,112
1482,428
1483,41
1484,386
1485,85
1486,394
1487,384
1488,41
1489,-1
1490,85
1491,-1
1492,112
1493,333
1494,41
1495,85
1496,112
1497,341
1498,41
1499,-1
1500,85
1501,386
1502,112
1503,41
1504,-1
1505,85
1506,-1
1507,112
1508,468
1509,41
1510,352
1511,112
1512,411
1513,41
1514,-1
1515,85
1516,-1
1517,112
1518,-1
1519,41
1520,-1
1521,85
1522,212
1523,212
1524,41
1525,-1
1526,85
1527,112
1528,312
1529,41
1530,443
1531,85
1532,-1
1533,-1
1534,41
1535,509
1536,85
1537,502
1538,112
1539,487
1540,41
1541,61
1542,85
1543,-1
1544,112
1545,-1
1546,41
1547,492
1548,85
1549,-1
1550,112
1551,411
1552,41
1553,-1
1554,85
1555,347
1556,112
1557,487
1558,41
1559,-1
1560,85
1561,491
1562,41
1563,218
1564,85
1565,-1
1566,112
1567,411
1568,41
1569,329
1570,85
1571,430
1572,112
1573,378
1574,41
1575,341
1576,85
1577,267
1578,112
1579,189
1580,41
1581,96
1582,85
1583,-1
1584,112
1585,-1
1586,41
1587,154
1588,85
1589,435
1590,-1
1591,41
1592,492
1593,85
1594,494
1595,112
1596,41
1597,352
1598,85
1599,453
1600,112
1601,329
1602,41
1603,347
1604,502
1605,112
1606,369
1607,41
1608,255
1609,85
1610,112
1611,-1
1612,41
1613,-1
1614,85
1615,502
1616,112
1617,411
1618,41
1619,426
1620,-1
1621,112
1622,397
1623,41
1624,282
1625,85
1626,-1
1627,-1
1628,96
1629,41
1630,499
1631,85
1632,513
1633,112
1634,457
1635,41
1636,406
1637,85
1638,512
1639,41
1640,85
1641,-1
1642,112
1643,-1
1644,41
1645,312
1646,85
1647,384
1648,112
1649,41
1650,-1
1651,85
1652,513
1653,-1
1654,41
1655,499
1656,85
1657,513
1658,112
1659,-1
1660,41
1661,85
1662,462
1663,112
1664,-1
1665,41
1666,-1
1667,85
1668,361
1669,112
1670,386
1671,41
1672,-1
1673,-1
1674,-1
1675,112
1676,60
1677,390
1678,-1
1679,112
1680,248
1681,41
1682,159
1683,85
1684,513
1685,112
1686,350
1687,41
1688,-1
1689,85
1690,-1
1691,112
1692,441
1693,41
1694,508
1695,85
1696,-1
1697,112
1698,41
1699,378
1700,85
1701,-1
1702,112
1703,-1
1704,41
1705,481
1706,85
1707,-1
1708,457
1709,41
1710,403
1711,86
1712,498
1713,112
1714,487
1715,41
1716,-1
1717,85
1718,212
1719,41
1720,347
1721,85
1722,-1
1723,112
1724,411
1725,41
1726,304
1727,85
1728,502
1729,-1
1730,41
1731,506
1732,85
1733,495
1734,112
1735,486
1736,41
1737,154
1738,85
1739,510
1740,112
1741,446
1742,41
1743,-1
1744,85
1745,-1
1746,112
1747,45
1748,41
1749,154
1750,401
1751,112
1752,434
1753,41
1754,352
1755,85
1756,-1
1757,112
1758,449
1759,41
1760,401
1761,85
1762,-1
1763,112
1764,401
1765,41
1766,472
1767,481
1768,-1
1769,257
1770,85
1771,502
1772,112
1773,218
1774,41
1775,85
1776,112
1777,-1
1778,41
1779,497
1780,85
1781,494
1782,478
1783,41
1784,-1
1785,85
1786,-1
1787,112
1788,434
1789,41
1790,454
1791,85
1792,112
1793,487
1794,41
1795,378
1796,85
1797,112
1798,411
1799,41
1800,430
1801,85
1802,415
1803,112
1804,468
1805,41
1806,-1
1807,282
1808,112
1809,487
1810,41
1811,-1
1812,85
1813,-1
1814,112
1815,470
1816,41
1817,499
1818,85
1819,513
1820,112
1821,-1
1822,41
1823,85
1824,112
1825,-1
1826,41
1827,-1
1828,112
1829,411
1830,41
1831,479
1832,85
1833,175
1834,112
1835,487
1836,41
1837,85
1838,-1
1839,112
1840,41
1841,-1
1842,85
1843,112
1844,350
1845,41
1846,-1
1847,85
1848,442
1849,112
1850,318
1851,41
1852,85
1853,512
1854,112
1855,411
1856,41
1857,333
1858,85
1859,304
1860,112
1861,41
1862,499
1863,85
1864,494
1865,112
1866,41
1867,85
1868,-1
1869,112
1870,411
1871,41
1872,428
1873,85
1874,-1
1875,112
1876,430
1877,41
1878,-1
1879,85
1880,257
1881,112
1882,441
1883,41
1884,185
1885,85
1886,462
1887,112
1888,446
1889,41
1890,-1
1891,-1
1892,112
1893,-1
1894,41
1895,-1
1896,437
1897,112
1898,350
1899,41
1900,355
1901,85
1902,352
1903,112
1904,-1
1905,41
1906,415
1907,85
1908,513
1909,112
1910,386
1911,41
1912,-1
1913,85
1914,369
1915,112
1916,487
1917,499
1918,85
1919,513
1920,112
1921,457
1922,41
1923,443
1924,85
1925,430
1926,112
1927,324
1928,41
1929,455
1930,85
1931,512
1932,112
1933,410
1934,-1
1935,85
1936,503
1937,390
1938,41
1939,-1
1940,85
1941,-1
1942,110
1943,321
1944,41
1945,85
1946,312
1947,112
1948,88
1949,41
1950,-1
1951,85
1952,329
1953,112
1954,355
1955,41
1956,-1
1957,85
1958,513
1959,112
1960,355
1961,41
1962,-1
1963,85
1964,-1
1965,112
1966,-1
1967,41
1968,444
1969,85
1970,112
1971,394
1972,41
1973,265
1974,85
1975,513
1976,112
1977,321
1978,475
1979,-1
1980,112
1981,-1
1982,41
1983,-1
1984,85
1985,-1
1986,112
1987,386
1988,41
1989,403
1990,85
1991,-1
1992,112
1993,-1
1994,41
1995,-1
1996,85
1997,-1
1998,386
1999,41
2000,288
2001,85
2002,35
2003,112
2004,304
2005,41
2006,85
2007,403
2008,112
2009,457
2010,41
2011,499
2012,85
2013,513
2014,113
2015,457
2016,41
2017,85
2018,502
2019,112
2020,470
2021,41
2022,-1
2023,-1
2024,288
2025,-1
2026,386
2027,41
2028,181
2029,85
2030,502
2031,112
2032,347
2033,41
2034,505
2035,85
2036,502
2037,112
2038,-1
2039,41
2040,-1
2041,85
2042,384
2043,112
2044,-1
2045,41
2046,85
2047,-1
2048,112
2049,190
2050,41
2051,504
2052,85
2053,496
2054,112
2055,433
2056,41
2057,352
2058,85
2059,112
2060,96
2061,41
2062,400
2063,85
2064,159
2065,41
2066,504
2067,85
2068,502
2069,-1
2070,-1
2071,321
2072,85
2073,403
2074,112
2075,-1
2076,369
2077,85
2078,321
2079,112
2080,212
2081,41
2082,506
2083,85
2084,-1
2085,112
2086,478
2087,41
2088,-1
2089,85
2090,112
2091,159
2092,-1
2093,85
2094,112
2095,-1
2096,41
2097,-1
2098,85
2099,-1
2100,112
2101,41
2102,509
2103,85
2104,-1
2105,112
2106,478
2107,41
2108,-1
2109,85
2110,350
2111,112
2112,487
2113,499
2114,85
2115,-1
2116,112
2117,457
2118,41
2119,265
2120,85
2121,112
2122,201
2123,41
2124,467
2125,85
2126,386
2127,-1
2128,415
2129,41
2130,318
2131,85
2132,-1
2133,112
2134,-1
2135,41
2136,352
2137,85
2138,329
2139,112
2140,487
2141,41
2142,454
2143,85
2144,-1
2145,112
2146,229
2147,41
2148,-1
2149,85
2150,491
2151,112
2152,411
2153,41
2154,361
2155,85
2156,513
2157,112
2158,457
2159,41
2160,85
2161,-1
2162,112
2163,277
2164,416
2165,112
2166,335
2167,41
2168,401
2169,85
2170,514
2171,446
2172,41
2173,312
2174,85
2175,96
2176,487
2177,41
2178,509
2179,85
2180,502
2181,112
2182,470
2183,41
2184,415
2185,85
2186,-1
2187,378
2188,41
2189,378
2190,85
2191,-1
2192,112
2193,428
2194,41
2195,387
2196,85
2197,472
2198,112
2199,415
2200,41
2201,499
2202,85
2203,513
2204,112
2205,426
2206,41
2207,-1
2208,85
2209,502
2210,112
2211,-1
2212,41
2213,112
2214,-1
2215,41
2216,324
2217,85
2218,-1
2219,112
2220,293
2221,41
2222,-1
2223,85
2224,410
2225,112
2226,-1
2227,41
2228,-1
2229,85
2230,-1
2231,112
2232,-1
2233,41
2234,189
2235,-1
2236,403
2237,112
2238,-1
2239,41
2240,282
2241,85
2242,355
2243,112
2244,-1
2245,41
2246,85
2247,-1
2248,112
2249,41
2250,-1
2251,-1
2252,113
2253,41
2254,-1
2255,85
2256,-1
2257,112
2258,486
2259,41
2260,321
2261,85
2262,350
2263,112
2264,-1
2265,41
2266,-1
2267,415
2268,112
2269,441
2270,-1
2271,390
2272,85
2273,513
2274,112
2275,-1
2276,41
2277,410
2278,85
2279,329
2280,-1
2281,-1
2282,41
2283,273
2284,85
2285,256
2286,112
2287,471
2288,41
2289,505
2290,85
2291,481
2292,112
2293,41
2294,493
2295,513
2296,112
2297,457
2298,41
2299,394
2300,-1
2301,-1
2302,190
2303,41
2304,453
2305,85
2306,513
2307,112
2308,457
2309,41
2310,437
2311,85
2312,-1
2313,-1
2314,487
2315,41
2316,499
2317,477
2318,112
2319,457
2320,41
2321,475
2322,-1
2323,112
2324,457
2325,41
2326,-1
2327,85
2328,-1
2329,112
2330,401
2331,41
2332,374
2333,85
2334,112
2335,-1
2336,41
2337,201
2338,85
2339,-1
2340,112
2341,190
2342,41
2343,501
2344,496
2345,112
2346,401
2347,41
2348,-1
2349,85
2350,112
2351,-1
2352,41
2353,499
2354,85
2355,96
2356,457
2357,41
2358,-1
2359,85
2360,426
2361,112
2362,375
2363,41
2364,415
2365,85
2366,513
2367,433
2368,41
2369,475
2370,85
2371,426
2372,112
2373,41
2374,355
2375,85
2376,-1
2377,112
2378,369
2379,41
2380,361
2381,85
2382,159
2383,112
2384,-1
2385,41
2386,327
2387,85
2388,-1
2389,-1
2390,41
2391,-1
2392,85
2393,-1
2394,112
2395,434
2396,41
2397,427
2398,85
2399,483
2400,112
2401,347
2402,41
2403,282
2404,413
2405,-1
2406,41
2407,-1
2408,112
2409,410
2410,41
2411,463
2412,403
2413,112
2414,-1
2415,41
2416,-1
2417,85
2418,453
2419,112
2420,487
2421,41
2422,-1
2423,85
2424,-1
2425,389
2426,41
2427,-1
2428,85
2429,-1
2430,267
2431,41
2432,416
2433,85
2434,-1
2435,113
2436,181
2437,41
2438,201
2439,85
2440,-1
2441,112
2442,41
2443,-1
2444,85
2445,112
2446,374
2447,41
2448,-1
2449,-1
2450,430
2451,329
2452,41
2453,389
2454,85
2455,112
2456,321
2457,41
2458,394
2459,85
2460,-1
2461,112
2462,212
2463,-1
2464,85
2465,394
2466,112
2467,273
2468,41
2469,85
2470,-1
2471,112
2472,374
2473,85
2474,431
2475,112
2476,482
2477,41
2478,304
2479,85
2480,502
2481,112
2482,-1
2483,41
2484,-1
2485,85
2486,112
2487,416
2488,41
2489,335
2490,85
2491,472
2492,112
2493,-1
2494,41
2495,479
2496,85
2497,512
2498,112
2499,-1
2500,41
2501,493
2502,85
2503,413
2504,-1
2505,41
2506,-1
2507,502
2508,112
2509,470
2510,41
2511,218
2512,85
2513,431
2514,112
2515,347
2516,41
2517,190
2518,85
2519,154
2520,112
2521,-1
2522,41
2523,85
2524,413
2525,112
2526,312
2527,41
2528,335
2529,502
2530,411
2531,-1
2532,85
2533,453
2534,112
2535,468
2536,41
2537,-1
2538,85
2539,-1
2540,-1
2541,304
2542,41
2543,335
2544,375
2545,112
2546,175
2547,41
2548,190
2549,-1
2550,324
2551,-1
2552,-1
2553,41
2554,506
2555,85
2556,-1
2557,112
2558,-1
2559,41
2560,-1
2561,-1
2562,386
2563,112
2564,-1
2565,41
2566,-1
2567,85
2568,-1
2569,112
2570,277
2571,41
2572,-1
2573,85
2574,-1
2575,112
2576,470
2577,499
2578,85
2579,496
2580,112
2581,426
2582,41
2583,462
2584,85
2585,472
2586,112
2587,410
2588,41
2589,416
2590,85
2591,-1
2592,112
2593,411
2594,41
2595,400
2596,85
2597,435
2598,112
2599,41
2600,499
2601,85
2602,513
2603,112
2604,457
2605,41
2606,-1
2607,502
2608,471
2609,41
2610,-1
2611,85
2612,410
2613,112
2614,41
2615,361
2616,85
2617,112
2618,434
2619,-1
2620,85
2621,-1
2622,112
2623,486
2624,41
2625,329
2626,416
2627,112
2628,-1
2629,41
2630,85
2631,318
2632,112
2633,-1
2634,41
2635,375
2636,85
2637,453
2638,112
2639,277
2640,41
2641,340
2642,-1
2643,112
2644,282
2645,41
2646,-1
2647,85
2648,312
2649,112
2650,-1
2651,41
2652,-1
2653,85
2654,154
2655,-1
2656,41
2657,386
2658,85
2659,185
2660,112
2661,355
2662,85
2663,494
2664,-1
2665,439
2666,41
2667,-1
2668,85
2669,112
2670,-1
2671,-1
2672,69
2673,112
2674,473
2675,41
2676,255
2677,85
2678,-1
2679,41
2680,293
2681,85
2682,-1
2683,112
2684,41
2685,85
2686,-1
2687,-1
2688,41
2689,369
2690,85
2691,-1
2692,112
2693,318
2694,-1
2695,85
2696,110
2697,446
2698,41
2699,159
2700,85
2701,-1
2702,39
2703,-1
2704,189
2705,85
2706,15
2707,112
2708,45
2709,41
2710,501
2711,85
2712,453
2713,-1
2714,41
2715,85
2716,304
2717,112
2718,321
2719,41
2720,329
2721,85
2722,83
2723,112
2724,361
2725,41
2726,374
2727,85
2728,442
2729,112
2730,-1
2731,41
2732,-1
2733,85
2734,112
2735,-1
2736,41
2737,462
2738,85
2739,-1
2740,112
2741,218
2742,41
2743,417
2744,85
2745,-1
2746,112
2747,355
2748,41
2749,361
2750,85
2751,407
2752,112
2753,-1
2754,41
2755,312
2756,85
2757,273
2758,112
2759,430
2760,41
2761,85
2762,112
2763,449
2764,41
2765,403
2766,85
2767,304
2768,112
2769,396
2770,41
2771,493
2772,85
2773,-1
2774,112
2775,457
2776,41
2777,497
2778,85
2779,352
2780,112
2781,426
2782,41
2783,443
2784,85
2785,396
2786,112
2787,458
2788,41
2789,-1
2790,85
2791,389
2792,112
2793,248
2794,41
2795,427
2796,85
2797,386
2798,112
2799,-1
2800,41
2801,375
2802,85
2803,-1
2804,112
2805,369
2806,41
2807,499
2808,85
2809,112
2810,-1
2811,41
2812,477
2813,85
2814,-1
2815,401
2816,41
2817,474
2818,85
2819,-1
2820,112
2821,-1
2822,41
2823,-1
2824,85
2825,502
2826,112
2827,449
2828,41
2829,-1
2830,483
2831,112
2832,486
2833,41
2834,509
2835,85
2836,416
2837,112
2838,441
2839,41
2840,428
2841,85
2842,-1
2843,112
2844,-1
2845,41
2846,453
2847,352
2848,41
2849,375
2850,85
2851,355
2852,457
2853,41
2854,256
2855,85
2856,428
2857,112
2858,389
2859,41
2860,85
2861,-1
2862,112
2863,-1
2864,-1
2865,85
2866,112
2867,293
2868,41
2869,506
2870,61
2871,112
2872,-1
2873,41
2874,-1
2875,85
2876,-1
2877,112
