,Protein,NClusters2,Labels_2,NClusters3,Labels_3,NClusters4,Labels_4,NClusters5,Labels_5,NClusters6,Labels_6,NClusters7,Labels_7,NClusters8,Labels_8,NClusters9,Labels_9,NClusters10,Labels_10,NClusters11,Labels_11,NClusters12,Labels_12,NClusters13,Labels_13,NClusters14,Labels_14,NClusters15,Labels_15,NClusters16,Labels_16,NClusters17,Labels_17,NClusters18,Labels_18,NClusters19,Labels_19,NClusters20,Labels_20,NClusters21,Labels_21,NClusters22,Labels_22,NClusters23,Labels_23,NClusters24,Labels_24,NClusters25,Labels_25,NClusters26,Labels_26,NClusters27,Labels_27,NClusters28,Labels_28,NClusters29,Labels_29
20,LEF1,2,0,3,1,4,0,5,0,6,1,7,5,8,0,9,4,10,5,11,9,12,1,13,8,14,8,15,7,16,2,17,3,18,16,19,13,20,0,21,15,22,11,23,8,24,9,25,7,26,16,27,17,28,20,29,20
21,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,5,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,15,27,11,28,23,29,12
22,LEF1,2,0,3,1,4,0,5,0,6,5,7,0,8,3,9,4,10,6,11,7,12,5,13,3,14,13,15,12,16,11,17,2,18,17,19,2,20,17,21,5,22,1,23,9,24,17,25,15,26,21,27,23,28,12,29,25
23,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,5,13,1,14,13,15,12,16,5,17,11,18,17,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,23
24,LEF1,2,0,3,2,4,2,5,1,6,3,7,6,8,2,9,2,10,3,11,0,12,3,13,2,14,3,15,1,16,7,17,4,18,0,19,8,20,5,21,16,22,21,23,2,24,10,25,5,26,20,27,24,28,5,29,16
25,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
26,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
27,LEF1,2,0,3,1,4,0,5,0,6,1,7,0,8,0,9,3,10,8,11,4,12,4,13,10,14,10,15,10,16,11,17,5,18,6,19,16,20,14,21,19,22,7,23,17,24,17,25,22,26,21,27,16,28,11,29,25
28,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,15,27,3,28,23,29,17
29,LEF1,2,0,3,2,4,2,5,1,6,3,7,6,8,2,9,2,10,3,11,0,12,3,13,2,14,3,15,11,16,7,17,4,18,0,19,8,20,5,21,16,22,21,23,2,24,10,25,9,26,20,27,24,28,5,29,16
30,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,7,27,0,28,23,29,12
31,LEF1,2,0,3,2,4,0,5,0,6,0,7,2,8,3,9,4,10,6,11,9,12,5,13,3,14,13,15,12,16,2,17,11,18,16,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,12
32,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,7,27,3,28,23,29,17
33,LEF1,2,0,3,2,4,0,5,0,6,0,7,0,8,3,9,4,10,5,11,7,12,5,13,3,14,13,15,12,16,5,17,11,18,2,19,12,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,0
34,LEF1,2,0,3,2,4,0,5,0,6,5,7,3,8,3,9,0,10,6,11,1,12,5,13,1,14,13,15,12,16,5,17,2,18,17,19,2,20,17,21,5,22,1,23,9,24,1,25,15,26,2,27,23,28,27,29,26
35,LEF1,2,0,3,2,4,2,5,0,6,5,7,3,8,1,9,2,10,3,11,0,12,3,13,2,14,7,15,11,16,14,17,15,18,12,19,6,20,8,21,17,22,21,23,2,24,3,25,17,26,18,27,4,28,14,29,22
36,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,11,14,1,15,4,16,5,17,0,18,16,19,4,20,4,21,0,22,13,23,1,24,23,25,12,26,12,27,0,28,20,29,12
37,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,15,27,3,28,23,29,17
38,LEF1,2,0,3,2,4,0,5,4,6,0,7,0,8,2,9,2,10,3,11,0,12,3,13,9,14,7,15,11,16,7,17,15,18,12,19,0,20,2,21,13,22,0,23,2,24,18,25,16,26,25,27,7,28,8,29,2
39,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,10,24,8,25,12,26,7,27,3,28,23,29,17
40,LEF1,2,1,3,1,4,3,5,3,6,1,7,5,8,0,9,6,10,5,11,2,12,8,13,8,14,4,15,6,16,13,17,6,18,3,19,3,20,11,21,4,22,15,23,22,24,6,25,3,26,5,27,17,28,19,29,4
41,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,5,13,1,14,13,15,12,16,5,17,11,18,17,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,23
42,LEF1,2,0,3,2,4,0,5,4,6,0,7,0,8,3,9,4,10,5,11,9,12,1,13,12,14,12,15,0,16,2,17,16,18,2,19,9,20,19,21,15,22,13,23,0,24,19,25,20,26,14,27,25,28,20,29,0
43,LEF1,2,0,3,2,4,2,5,1,6,5,7,3,8,1,9,7,10,3,11,0,12,7,13,2,14,0,15,5,16,14,17,10,18,8,19,6,20,8,21,2,22,21,23,11,24,3,25,5,26,18,27,4,28,5,29,22
44,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,24,29,17
45,LEF1,2,0,3,1,4,3,5,3,6,1,7,5,8,0,9,6,10,5,11,9,12,8,13,8,14,8,15,6,16,13,17,6,18,3,19,3,20,11,21,4,22,15,23,22,24,6,25,7,26,16,27,17,28,19,29,20
46,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,9,11,1,12,9,13,11,14,1,15,4,16,5,17,11,18,11,19,4,20,4,21,0,22,8,23,5,24,23,25,10,26,15,27,11,28,1,29,3
47,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,3,9,4,10,5,11,9,12,1,13,11,14,1,15,7,16,2,17,3,18,16,19,13,20,0,21,15,22,11,23,1,24,9,25,20,26,12,27,0,28,20,29,12
48,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,5,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,15,27,11,28,23,29,3
49,LEF1,2,0,3,2,4,2,5,1,6,3,7,6,8,2,9,2,10,3,11,0,12,3,13,2,14,3,15,1,16,14,17,4,18,0,19,8,20,5,21,9,22,14,23,2,24,3,25,5,26,20,27,24,28,14,29,22
50,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
51,LEF1,2,1,3,0,4,1,5,3,6,1,7,1,8,7,9,1,10,2,11,8,12,2,13,6,14,5,15,2,16,1,17,9,18,7,19,10,20,7,21,11,22,2,23,20,24,0,25,21,26,19,27,9,28,17,29,27
52,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,5,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,15,27,3,28,23,29,12
53,LEF1,2,0,3,1,4,0,5,0,6,1,7,0,8,0,9,4,10,8,11,9,12,4,13,10,14,10,15,10,16,2,17,3,18,1,19,7,20,0,21,19,22,13,23,1,24,17,25,4,26,21,27,16,28,12,29,25
54,LEF1,2,0,3,1,4,0,5,0,6,5,7,3,8,1,9,7,10,6,11,3,12,7,13,7,14,0,15,5,16,0,17,10,18,8,19,18,20,8,21,2,22,6,23,11,24,11,25,6,26,10,27,14,28,13,29,6
55,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,24,29,17
56,LEF1,2,1,3,1,4,3,5,3,6,1,7,5,8,0,9,6,10,8,11,2,12,8,13,8,14,8,15,6,16,13,17,6,18,3,19,3,20,11,21,4,22,15,23,22,24,6,25,3,26,5,27,17,28,19,29,4
57,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,24,29,17
58,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,3,9,4,10,5,11,9,12,1,13,12,14,12,15,4,16,2,17,16,18,16,19,12,20,19,21,15,22,13,23,1,24,19,25,20,26,12,27,0,28,12,29,25
59,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,5,13,1,14,13,15,12,16,5,17,0,18,13,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,23
60,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,24,29,17
61,LEF1,2,1,3,1,4,3,5,3,6,1,7,5,8,0,9,6,10,5,11,2,12,8,13,8,14,4,15,6,16,13,17,6,18,3,19,3,20,18,21,12,22,15,23,22,24,6,25,3,26,5,27,10,28,19,29,4
62,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
63,LEF1,2,0,3,1,4,0,5,4,6,0,7,0,8,3,9,4,10,9,11,9,12,1,13,3,14,1,15,0,16,2,17,3,18,16,19,7,20,0,21,15,22,13,23,1,24,17,25,20,26,21,27,0,28,12,29,25
64,LEF1,2,0,3,2,4,0,5,0,6,5,7,3,8,1,9,7,10,6,11,3,12,7,13,7,14,0,15,5,16,0,17,10,18,8,19,18,20,8,21,2,22,6,23,11,24,11,25,6,26,10,27,4,28,5,29,6
65,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
66,LEF1,2,1,3,1,4,3,5,3,6,1,7,5,8,0,9,6,10,5,11,2,12,8,13,8,14,4,15,6,16,13,17,6,18,3,19,3,20,18,21,12,22,15,23,22,24,6,25,3,26,5,27,10,28,19,29,4
67,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,16,19,4,20,4,21,0,22,8,23,1,24,8,25,12,26,7,27,3,28,20,29,3
68,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,6,11,1,12,5,13,1,14,13,15,12,16,5,17,2,18,17,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,23,28,27,29,23
69,LEF1,2,0,3,2,4,0,5,0,6,5,7,0,8,2,9,2,10,3,11,0,12,3,13,9,14,7,15,11,16,7,17,15,18,12,19,0,20,2,21,13,22,0,23,2,24,18,25,16,26,25,27,7,28,8,29,2
70,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,24,29,17
71,LEF1,2,0,3,1,4,0,5,0,6,1,7,0,8,0,9,4,10,5,11,9,12,1,13,3,14,1,15,7,16,2,17,3,18,16,19,13,20,0,21,15,22,11,23,8,24,9,25,20,26,12,27,25,28,20,29,5
72,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,24,29,17
73,LEF1,2,0,3,2,4,0,5,0,6,5,7,3,8,3,9,4,10,6,11,9,12,5,13,3,14,13,15,7,16,2,17,3,18,16,19,2,20,0,21,15,22,11,23,1,24,9,25,20,26,12,27,25,28,20,29,25
74,LEF1,2,0,3,2,4,0,5,0,6,5,7,3,8,3,9,0,10,6,11,3,12,5,13,7,14,13,15,12,16,0,17,2,18,17,19,2,20,17,21,5,22,1,23,18,24,1,25,15,26,2,27,23,28,27,29,26
75,LEF1,2,0,3,2,4,0,5,0,6,5,7,3,8,1,9,7,10,6,11,3,12,7,13,7,14,0,15,5,16,0,17,10,18,8,19,18,20,8,21,2,22,6,23,11,24,11,25,6,26,10,27,4,28,13,29,6
76,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
77,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,9,11,1,12,9,13,11,14,6,15,4,16,10,17,0,18,11,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,7,27,15,28,23,29,12
78,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,3,9,4,10,5,11,9,12,1,13,3,14,1,15,4,16,2,17,3,18,16,19,12,20,0,21,15,22,13,23,1,24,23,25,20,26,12,27,0,28,20,29,3
79,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,3,9,0,10,6,11,1,12,5,13,1,14,13,15,12,16,5,17,11,18,17,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,23
80,LEF1,2,0,3,2,4,2,5,1,6,3,7,6,8,2,9,2,10,3,11,0,12,3,13,2,14,3,15,1,16,6,17,4,18,0,19,8,20,5,21,9,22,14,23,2,24,13,25,2,26,20,27,24,28,0,29,22
81,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,7,27,3,28,23,29,17
82,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,4,10,9,11,1,12,1,13,3,14,1,15,0,16,2,17,11,18,11,19,9,20,16,21,14,22,12,23,12,24,20,25,11,26,12,27,25,28,18,29,12
83,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,3,9,4,10,9,11,9,12,5,13,11,14,13,15,12,16,2,17,11,18,16,19,12,20,17,21,5,22,13,23,1,24,1,25,20,26,12,27,0,28,20,29,12
84,LEF1,2,0,3,2,4,0,5,4,6,0,7,0,8,3,9,4,10,5,11,7,12,1,13,12,14,12,15,0,16,9,17,16,18,2,19,12,20,19,21,14,22,17,23,0,24,19,25,24,26,14,27,11,28,9,29,0
85,LEF1,2,0,3,2,4,0,5,0,6,5,7,3,8,3,9,0,10,6,11,1,12,5,13,7,14,13,15,12,16,5,17,2,18,17,19,2,20,17,21,5,22,1,23,9,24,1,25,15,26,2,27,23,28,27,29,26
86,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
87,LEF1,2,1,3,1,4,3,5,3,6,1,7,5,8,0,9,6,10,5,11,2,12,8,13,8,14,4,15,6,16,13,17,6,18,3,19,3,20,11,21,12,22,15,23,22,24,6,25,3,26,5,27,10,28,19,29,4
88,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,16,19,4,20,4,21,0,22,8,23,1,24,23,25,12,26,12,27,0,28,20,29,3
89,LEF1,2,0,3,2,4,0,5,0,6,0,7,0,8,3,9,4,10,6,11,7,12,5,13,3,14,13,15,12,16,2,17,11,18,16,19,12,20,17,21,5,22,1,23,1,24,20,25,10,26,2,27,23,28,12,29,25
90,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,3,9,0,10,0,11,1,12,5,13,1,14,13,15,12,16,5,17,11,18,17,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,23
91,LEF1,2,0,3,2,4,0,5,0,6,5,7,3,8,1,9,7,10,6,11,3,12,7,13,7,14,0,15,5,16,0,17,10,18,8,19,18,20,8,21,16,22,21,23,11,24,10,25,6,26,10,27,4,28,5,29,6
92,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,7,27,3,28,23,29,17
93,LEF1,2,1,3,1,4,1,5,3,6,1,7,0,8,0,9,1,10,8,11,6,12,4,13,8,14,8,15,7,16,2,17,3,18,16,19,13,20,0,21,15,22,11,23,8,24,9,25,20,26,16,27,8,28,20,29,20
94,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,5,17,11,18,13,19,4,20,17,21,0,22,8,23,5,24,4,25,10,26,15,27,11,28,27,29,12
95,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,3,9,0,10,0,11,1,12,5,13,12,14,12,15,4,16,5,17,16,18,2,19,9,20,19,21,14,22,17,23,0,24,19,25,1,26,17,27,13,28,9,29,0
96,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,5,13,1,14,13,15,12,16,5,17,11,18,17,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,23
97,LEF1,2,0,3,2,4,0,5,0,6,5,7,3,8,1,9,7,10,6,11,3,12,7,13,7,14,0,15,5,16,0,17,10,18,8,19,18,20,8,21,2,22,6,23,11,24,11,25,6,26,10,27,14,28,13,29,6
98,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,23,29,17
99,LEF1,2,1,3,1,4,3,5,3,6,1,7,5,8,0,9,6,10,5,11,9,12,8,13,8,14,8,15,6,16,13,17,6,18,3,19,3,20,11,21,4,22,15,23,22,24,6,25,7,26,5,27,17,28,19,29,4
100,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,5,24,8,25,12,26,15,27,3,28,23,29,17
101,LEF1,2,0,3,2,4,0,5,4,6,0,7,0,8,3,9,4,10,9,11,7,12,1,13,12,14,1,15,0,16,5,17,16,18,2,19,12,20,19,21,14,22,17,23,0,24,19,25,1,26,17,27,13,28,1,29,0
102,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,5,13,1,14,13,15,12,16,5,17,11,18,17,19,2,20,17,21,5,22,1,23,9,24,1,25,10,26,2,27,11,28,27,29,23
103,LEF1,2,0,3,2,4,2,5,1,6,5,7,3,8,1,9,7,10,3,11,0,12,7,13,2,14,0,15,5,16,14,17,10,18,8,19,6,20,8,21,2,22,21,23,11,24,3,25,5,26,18,27,4,28,14,29,22
104,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,4,16,10,17,0,18,16,19,4,20,4,21,0,22,8,23,1,24,8,25,12,26,7,27,0,28,23,29,12
105,LEF1,2,0,3,1,4,3,5,3,6,1,7,5,8,0,9,6,10,8,11,9,12,8,13,8,14,8,15,7,16,2,17,3,18,3,19,13,20,11,21,4,22,11,23,8,24,9,25,7,26,16,27,17,28,19,29,20
106,LEF1,2,0,3,1,4,0,5,4,6,0,7,0,8,0,9,4,10,5,11,9,12,1,13,8,14,8,15,7,16,2,17,3,18,16,19,13,20,0,21,15,22,11,23,8,24,9,25,20,26,16,27,17,28,20,29,20
107,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,10,23,19,24,8,25,12,26,7,27,3,28,24,29,17
108,LEF1,2,0,3,2,4,2,5,0,6,5,7,3,8,1,9,7,10,3,11,3,12,7,13,7,14,0,15,5,16,14,17,10,18,8,19,18,20,8,21,2,22,6,23,11,24,3,25,5,26,10,27,14,28,13,29,6
109,LEF1,2,0,3,2,4,0,5,4,6,0,7,2,8,6,9,0,10,0,11,1,12,9,13,1,14,6,15,3,16,10,17,0,18,13,19,4,20,4,21,0,22,8,23,19,24,8,25,12,26,7,27,3,28,23,29,17
110,LEF1,2,0,3,2,4,0,5,4,6,0,7,0,8,3,9,4,10,5,11,9,12,1,13,3,14,1,15,7,16,2,17,3,18,16,19,13,20,0,21,15,22,11,23,1,24,9,25,20,26,12,27,0,28,20,29,12
